ID,Title,Year,Journal,Author,,,,,,,,,,,,
2-s2.0-85050120665,Neural Simpletrons: Learning in the Limit of Few Labels with Directed Generative Networks.,2018,Neural Computation,Dennis Forster,Abdul-Saboor Sheikh,Jrg L¨¹cke,,,,,,,,,,
2-s2.0-85043512687,Methods for Assessment of Memory Reactivation.,2018,Neural Computation,Shizhao Liu,Andres D. Grosmark,Zhe Chen,,,,,,,,,,
2-s2.0-85050123368,Evidence of Rentian Scaling of Functional Modules in Diverse Biological Networks.,2018,Neural Computation,Javier J. How,Saket Navlakha,,,,,,,,,,,
2-s2.0-85050145383,A Comparative Study of Pairwise Learning Methods Based on Kernel Ridge Regression.,2018,Neural Computation,Michiel Stock,Tapio Pahikkala,Antti Airola,Bernard De Baets,Willem Waegeman,,,,,,,,
2-s2.0-85050102152,Confounder Detection in High-Dimensional Linear Models Using First Moments of Spectral Measures.,2018,Neural Computation,Furui Liu,Laiwan Chan,,,,,,,,,,,
2-s2.0-85051643884,The Discrete and Continuous Brain: From Decisions to Movement - And Back Again.,2018,Neural Computation,Thomas Parr,Karl J. Friston,,,,,,,,,,,
2-s2.0-85051650069,A New Foreperiod Effect on Intertrial Phase Coherence. Part I: Existence and Behavioral Relevance.,2018,Neural Computation,Joaquin Rapela,Marissa Westerfield,Jeanne Townsend,,,,,,,,,,
2-s2.0-85051646017,Spiking Elementary Motion Detector in Neuromorphic Systems.,2018,Neural Computation,Moritz B. Milde,Olivier J. N. Bertrand,Harshawardhan Ramachandran,Martin Egelhaaf,Elisabetta Chicca,,,,,,,,
2-s2.0-85051627462,A Basic Phase Diagram of Neuronal Dynamics.,2018,Neural Computation,Wenyuan Li,Igor V. Ovchinnikov,Honglin Chen,Zhe Wang,Albert Lee,Houchul Lee,Carlos Cepeda,Robert N. Schwartz,Karlheinz Meier,Kang L. Wang,,,
2-s2.0-85051677282,A Computationally Efficient Visual Saliency Algorithm Suitable for an Analog CMOS Implementation.,2018,Neural Computation,Robert D'Angelo,Richard Wood,Nathan Lowry,Geremy Freifeld,Haiyao Huang,Christopher D. Salthouse,Brent Hollosi,Matthew Muresan,Wes Uy,Nhut Tran,Armand Chery,Dorothy C. Poppe,Sameer Sonkusale
2-s2.0-85051662811,ASIC Implementation of a Nonlinear Dynamical Model for Hippocampal Prosthesis.,2018,Neural Computation,Zhitong Qiao,Yan Han,Xiaoxia Han,Han Xu,Will X. Y. Li,Dong Song,Theodore W. Berger,Ray C. C. Cheung,,,,,
2-s2.0-85051641717,A Locally Optimal Algorithm for Estimating a Generating Partition from an Observed Time Series and Its Application to Anomaly Detection.,2018,Neural Computation,Najah F. Ghalyan,David J. Miller,Asok Ray,,,,,,,,,,
2-s2.0-85051680081,"Active Inference, Belief Propagation, and the Bethe Approximation.",2018,Neural Computation,Sarah Schwbel,Stefan J. Kiebel,Dimitrije Markovic,,,,,,,,,,
