ID,Title,Year,Journal,Author,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Stochastic spike synchronization in a small-world neural network with spike-timing-dependent plasticity.,2018,Neural Networks,Sang-Yoon Kim,Woochang Lim,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Variable structure controller design for Boolean networks.,2018,Neural Networks,Liangjie Sun,Jianquan Lu,Yang Liu,Tingwen Huang,Fuad E. Alsaadi,Tasawar Hayat,,,,,,,,,,,,,,,,,,,,,,
121,New results on global exponential dissipativity analysis of memristive inertial neural networks with distributed time-varying delays.,2018,Neural Networks,Guodong Zhang,Zhigang Zeng,Junhao Hu,,,,,,,,,,,,,,,,,,,,,,,,,
122,Quantum associative memory with linear and non-linear algorithms for the diagnosis of some tropical diseases.,2018,Neural Networks,J.-P. Tchapet Njafa,S. G. Nana Engo,,,,,,,,,,,,,,,,,,,,,,,,,,
123,SNAVA - A real-time multi-FPGA multi-model spiking neural network simulation architecture.,2018,Neural Networks,T. A. Athul Sripad,Giovanny S¨¢nchez,Mireya Zapata,Vito Pirrone,Taho Dorta,Salvatore Cambria,Albert Marti,Karthikeyan Krishnamourthy,Jordi Madrenas,,,,,,,,,,,,,,,,,,,
124,V4 shape features for contour representation and object detection.,2018,Neural Networks,Hui Wei,Zheng Dong,Luping Wang,,,,,,,,,,,,,,,,,,,,,,,,,
125,Visualizing deep neural network by alternately image blurring and deblurring.,2018,Neural Networks,Feng Wang,Haijun Liu,Jian Cheng,,,,,,,,,,,,,,,,,,,,,,,,,
126,Active learning for classifying data streams with unknown number of classes.,2018,Neural Networks,Saad Mohamad,Moamar Sayed Mouchaweh,Abdelhamid Bouchachia,,,,,,,,,,,,,,,,,,,,,,,,,
127,Adaptive neuro-heuristic hybrid model for fruit peel defects detection.,2018,Neural Networks,Marcin Wozniak,Dawid Polap,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Matrix completion by deep matrix factorization.,2018,Neural Networks,Jicong Fan,Jieyu Cheng,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Intrinsic sodium currents and excitatory synaptic transmission influence spontaneous firing in up and down activities.,2018,Neural Networks,Yihong Wang,Xuying Xu,Rubin Wang,,,,,,,,,,,,,,,,,,,,,,,,,
130,Region stability analysis and tracking control of memristive recurrent neural network.,2018,Neural Networks,Gang Bao,Zhigang Zeng,Yanjun Shen,,,,,,,,,,,,,,,,,,,,,,,,,
131,Reduced-order state estimation of delayed recurrent neural networks.,2018,Neural Networks,He Huang,Tingwen Huang,Xiaoping Chen,,,,,,,,,,,,,,,,,,,,,,,,,
132,Global Uniform Asymptotic Fixed Deviation Stability and Stability for Delayed Fractional-order Memristive Neural Networks with Generic Memductance.,2018,Neural Networks,Jiejie Chen,Boshan Chen,Zhigang Zeng,,,,,,,,,,,,,,,,,,,,,,,,,
133,Kernel Bayesian ART and ARTMAP.,2018,Neural Networks,Naoki Masuyama,Chu Kiong Loo,Farhan Dawood,,,,,,,,,,,,,,,,,,,,,,,,,
134,Support vector machine with Dirichlet feature mapping.,2018,Neural Networks,Ali Nedaie,Amir Abbas Najafi,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Nonlinear recurrent neural networks for finite-time solution of general time-varying linear matrix equations.,2018,Neural Networks,Lin Xiao,Bolin Liao,Shuai Li,Ke Chen,,,,,,,,,,,,,,,,,,,,,,,,
136,A regularization path algorithm for support vector ordinal regression.,2018,Neural Networks,Bin Gu,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Global exponential stability and lag synchronization for delayed memristive fuzzy Cohen-Grossberg BAM neural networks with impulses.,2018,Neural Networks,Wengui Yang,Wenwu Yu,Jinde Cao,Fuad E. Alsaadi,Tasawar Hayat,,,,,,,,,,,,,,,,,,,,,,,
138,Towards understanding sparse filtering: A theoretical perspective.,2018,Neural Networks,Fabio Massimo Zennaro,Ke Chen,,,,,,,,,,,,,,,,,,,,,,,,,,
139,A new randomized Kaczmarz based kernel canonical correlation analysis algorithm with applications to information retrieval.,2018,Neural Networks,Jia Cai,Yi Tang,,,,,,,,,,,,,,,,,,,,,,,,,,
140,pth moment exponential stability of stochastic memristor-based bidirectional associative memory (BAM) neural networks with time delays.,2018,Neural Networks,Fen Wang,Yuanlong Chen,Meichun Liu,,,,,,,,,,,,,,,,,,,,,,,,,
141,Fixed-time stabilization of impulsive Cohen-Grossberg BAM neural networks.,2018,Neural Networks,Hongfei Li,Chuandong Li,Tingwen Huang,Wanli Zhang,,,,,,,,,,,,,,,,,,,,,,,,
