ID,Title,Year,Journal,Author,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84954286341,Machine learning based sample extraction for automatic speech recognition using dialectal Assamese speech.,2016,Evolutionary Computation,Swapna Agarwalla,Kandarpa Kumar Sarma,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84966400967,Learning to decode human emotions with Echo State Networks.,2016,Evolutionary Computation,Lachezar Bozhkov,Petia D. Koprinkova-Hristova,Petia Georgieva,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84962898742,Regular expressions for decoding of neural network outputs.,2016,Evolutionary Computation,Tobias Strauß,Gundram Leifert,Tobias Grüning,Roger Labahn,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84962898742,When are two multi-layer cellular neural networks the same?,2016,Evolutionary Computation,Jung-Chao Ban,Chih-Hung Chang,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84963640859,Robust mixture of experts modeling using the t distribution.,2016,Evolutionary Computation,Faicel Chamroukhi,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84963617825,Engineering neural systems for high-level problem solving.,2016,Evolutionary Computation,Jared Sylvester,James A. Reggia,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84964452054,Effect of network architecture on burst and spike synchronization in a scale-free network of bursting neurons.,2016,Evolutionary Computation,Sang-Yoon Kim,Woochang Lim,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84964528780,Dynamical analysis of contrastive divergence learning: Restricted Boltzmann machines with Gaussian visible units.,2016,Evolutionary Computation,Ryo Karakida,Masato Okada,Shun-ichi Amari,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84964506509,Pattern recognition for electroencephalographic signals based on continuous neural networks.,2016,Evolutionary Computation,Mariel Alfaro-Ponce,Amadeo José Argüelles-Cruz,Isaac Chairez,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84964434818,Improvements on ν-Twin Support Vector Machine.,2016,Evolutionary Computation,Reshma Khemchandani,Pooja Saigal,Suresh Chandra,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84964425569,Global exponential stability of complex-valued neural networks with both time-varying delays and impulsive effects.,2016,Evolutionary Computation,Qiankun Song,Huan Yan,Zhenjiang Zhao,Yurong Liu,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84964555776,Multistability analysis of a general class of recurrent neural networks with non-monotonic activation functions and time-varying delays.,2016,Evolutionary Computation,Peng Liu,Zhigang Zeng,Jun Wang,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84964483794,FPGA implementation of neuro-fuzzy system with improved PSO learning.,2016,Evolutionary Computation,Cihan Karakuzu,Fuat Karakaya,Mehmet Ali Çavuslu,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84964502483,Interplay between non-NMDA and NMDA receptor activation during oscillatory wave propagation: Analyses of caffeine-induced oscillations in the visual cortex of rats.,2016,Evolutionary Computation,Hiroshi Yoshimura,Tokio Sugai,Nobuo Kato,Takashi Tominaga,Yoko Tominaga,Takahiro Hasegawa,Chenjuan Yao,Tetsuya Akamatsu,,,,,,,,,,,,,,,,,,,,
2-s2.0-84973135873,Generating action descriptions from statistically integrated representations of human motions and sentences.,2016,Evolutionary Computation,Wataru Takano,Ikuo Kusajima,Yoshihiko Nakamura,,,,,,,,,,,,,,,,,,,,,,,,,
